file,course,section,question_id,status,difficulty,option_key,option_letter,issues,sample
content/cpa/aud/questions.json,cpa,aud,aud-d10-011,approved,hard,2,C,option-letter-prefix-mismatch,"B) Management bias, as indicated by consistently favorable estimates, raises concerns about the fairness and reliability of financial reporting. AU-C 240 requires auditors to consider such bias as a potential fraud risk because it suggests intentiona"
content/cpa/aud/questions.json,cpa,aud,aud-d11-015,approved,easy,2,C,option-letter-prefix-mismatch,"B) Performing substantive analytical procedures is the most effective approach because it allows the auditor to develop an independent expectation of what the expense should be and then compare that expectation to the recorded amount. This helps iden"
content/cpa/aud/questions.json,cpa,aud,aud-d12-015,approved,easy,2,C,option-letter-prefix-mismatch,"B) CORRECT: The clearly trivial threshold is designed to capture immaterial misstatements that are so small they don't need to be tracked individually because, even in aggregate, they wouldn't impact the financial statements."
content/cpa/aud/questions.json,cpa,aud,aud-d12-022,approved,hard,2,C,option-letter-prefix-mismatch,"B) CORRECT: Prior-period misstatements can have a 'rollover' effect, impacting current-period accounts (e.g., inventory). Auditors must assess the cumulative impact of these uncorrected errors on the current-year financial statements to ensure they a"
content/cpa/aud/questions.json,cpa,aud,aud-d13-024,approved,hard,3,D,option-letter-prefix-mismatch,"B) CORRECT: When prior-period financial statements are restated, the auditor must audit the restatement adjustments to ensure they are appropriate, evaluate the adequacy of disclosures regarding the restatement, and update the audit report to reflect"
content/cpa/aud/questions.json,cpa,aud,aud-d2-015,approved,easy,3,D,option-letter-prefix-mismatch,"B) CORRECT: AICPA peer review programs mandate that firms performing audit, review, compilation (with disclosures), or attestation services undergo a peer review of their accounting and auditing practice every three years to ensure quality and compli"
content/cpa/aud/questions.json,cpa,aud,aud-gen-1241,draft,hard,3,D,correct-option-marked-incorrect,"This answer is incorrect because it results from using the incorrect confidence factor, such as the 99% confidence factor."
content/cpa/bar/questions.json,cpa,bar,bar-139,approved,hard,2,C,option-letter-prefix-mismatch,"B) CORRECT: WACC is the appropriate discount rate for Free Cash Flow to the Firm (FCFF) because FCFF represents the cash flow available to all investors (both debt and equity holders). WACC reflects the blended cost of obtaining capital from all sour"
content/cpa/bar/questions.json,cpa,bar,bar-d10-021,approved,hard,3,D,option-letter-prefix-mismatch,"B) If the performance condition is probable of being achieved, expense is recognized over the requisite service period; the probability assessment is updated each period, and cumulative expense is adjusted accordingly: This is the correct treatment. "
content/cpa/bar/questions.json,cpa,bar,bar-d11-014,approved,medium,3,D,option-letter-prefix-mismatch,"B) CORRECT: Tax-exempt municipal bond interest is a permanent difference because it is included in book income but is never subject to federal income tax. This difference does not reverse over time and therefore does not create a deferred tax asset o"
content/cpa/bar/questions.json,cpa,bar,bar-gen-0966,draft,hard,0,A,correct-option-marked-incorrect,"This option incorrectly calculates the break-even point by not properly weighting the contribution margin according to the sales mix."
content/cpa/bar/questions.json,cpa,bar,bar-gen-0968,draft,medium,0,A,correct-option-marked-incorrect,"This answer incorrectly calculates the change in break-even point by either using the incorrect formula or by not calculating the break-even points both before and after the investment."
content/cpa/bar/questions.json,cpa,bar,bar-gen-0975,draft,medium,0,A,correct-option-marked-incorrect,"This answer incorrectly calculates pro forma sales and COGS or does not account for the tax rate appropriately."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1036,draft,hard,1,B,correct-option-marked-incorrect,"B) $2,950,000 decrease is incorrect because it misinterprets the impact of the bond issuance costs on the capital projects fund balance; these costs do not directly reduce the fund balance."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1062,draft,hard,1,B,self-contradictory-rationale-text,"Option B is the closest to the correct answer. The probability-weighted NPV considers the likelihood of different scenarios affecting raw material costs and their subsequent impact on the project's NPV. The calculation is: (0.25 * ($500,000 + (10 * $"
content/cpa/bar/questions.json,cpa,bar,bar-gen-1086,draft,hard,0,A,correct-option-marked-incorrect,"This answer is incorrect because it doesn't accurately reflect the calculations for the composite unit break-even point and the subsequent allocation to each product based on the sales mix. The sales mix calculation is not properly applied."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1111,draft,medium,1,B,correct-option-marked-incorrect,"This answer incorrectly calculates the inventory conversion, receivables collection, or payables deferral period or adds instead of subtracts the payables deferral period."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1125,draft,medium,1,B,correct-option-marked-incorrect,"This answer is incorrect. It is the result of errors in calculating either the inventory conversion period, receivables collection period, or payables deferral period."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1135,draft,medium,0,A,correct-option-marked-incorrect,"This answer incorrectly calculates the cash conversion cycle by only using inventory and receivables turnover and not properly including the accounts payable deferral period."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1146,draft,medium,0,A,correct-option-marked-incorrect,"This answer incorrectly calculates the collections from credit sales by not following the given collection pattern."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1165,draft,medium,3,D,self-contradictory-rationale-text,"The correct increase in ROE is 4%. The closest answer is an increase of 2%, but it is not the best answer."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1180,draft,medium,0,A,correct-option-marked-incorrect,"This option incorrectly identifies the variance as favorable when it is unfavorable. The calculation is correct, but the sign is wrong."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1193,draft,medium,0,A,correct-option-marked-incorrect,"This option incorrectly calculates the collections by either adding or subtracting a wrong amount or not fully accounting for all three components of the collections."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1194,draft,hard,0,A,correct-option-marked-incorrect,"This option is incorrect because the total number of units does not result in a break-even point, and the individual product unit values are not correct for the given sales mix and calculated BEP."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1197,draft,hard,0,A,correct-option-marked-incorrect,"This answer incorrectly calculates one or more of the components of the cash conversion cycle or incorrectly applies the formula."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1204,draft,medium,0,A,correct-option-marked-incorrect,"This answer is incorrect because it only considers the fixed costs and ignores the contribution margin of each product."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1210,draft,medium,0,A,correct-option-marked-incorrect,"This answer incorrectly calculates the pro forma operating income by not correctly accounting for the combined sales and expenses."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1212,draft,hard,1,B,correct-option-marked-incorrect,"This option incorrectly applies the leverage ratio or fails to account for the increase in net income."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1600,draft,hard,0,A,correct-option-marked-incorrect,"This option incorrectly applies the sales mix to fixed costs before determining the weighted average contribution margin, leading to an inaccurate break-even point."
content/cpa/bar/questions.json,cpa,bar,bar-gen-1601,draft,easy,0,A,correct-option-marked-incorrect,"This answer incorrectly subtracts days of payables outstanding after adding days of inventory outstanding and days of sales outstanding."
content/cpa/bar/questions.json,cpa,bar,bar-9k-011,approved,easy,0,A,correct-option-marked-incorrect,"This answer is incorrect because it represents the incorrect calculation of the NPV. The present values were not calculated correctly."
content/cpa/bar/questions.json,cpa,bar,bar-9k-014,approved,medium,0,A,correct-option-marked-incorrect,"This answer is incorrect because the equation was used incorrectly."
content/cpa/far/questions.json,cpa,far,far-d11-016,approved,medium,2,C,option-letter-prefix-mismatch,"B) $16,667 is CORRECT because cash-settled SARs are treated as liabilities and remeasured to fair value at each reporting date. The Year 1 compensation expense is calculated as (1/3 vesting period) * (5,000 SARs) * ($10 fair value) = $16,667."
content/cpa/far/questions.json,cpa,far,far-d15-003,approved,hard,1,B,option-letter-prefix-mismatch,"C) $125,000 is incorrect because it uses an incorrect calculation. It might be derived from applying the tax rate to the fair value of the equipment, which is not the correct approach."
content/cpa/far/questions.json,cpa,far,far-d15-003,approved,hard,2,C,option-letter-prefix-mismatch,"B) CORRECT: The difference between the equipment's fair value ($500,000) and its tax basis ($300,000) creates a taxable temporary difference of $200,000. Applying the 25% tax rate to this difference results in a deferred tax liability of $50,000."
content/cpa/far/questions.json,cpa,far,far-d21-023,approved,medium,3,D,option-letter-prefix-mismatch,"B) CORRECT: Common stock and APIC represent the historical investment in the subsidiary. To maintain the original dollar value of that investment in the consolidated financial statements, these accounts are translated at the historical exchange rates"
content/cpa/far/questions.json,cpa,far,far-extra-156,approved,medium,2,C,correct-option-marked-incorrect,"Incorrect. Restricted is the most restrictive SPENDABLE classification, but Nonspendable is more restrictive overall."
content/cpa/far/questions.json,cpa,far,far-gen-1306,draft,hard,0,A,correct-option-marked-incorrect,"This answer incorrectly applies the original depreciation rate to the remaining book value without considering the change in estimate and the remaining useful life."
content/cpa/far/questions.json,cpa,far,far-gen-1313,draft,hard,3,D,correct-option-marked-incorrect,"This answer incorrectly excludes the compensating balance of $25,000, which is legally available for withdrawal and should be included in cash and cash equivalents."
content/cpa/far/questions.json,cpa,far,far-gen-1314,draft,medium,2,C,correct-option-marked-incorrect,"This answer incorrectly amortizes the discount and does not include issuance costs. It represents the difference between the call price and the original face value less the discount."
content/cpa/far/questions.json,cpa,far,far-gen-1344,draft,easy,0,A,correct-option-marked-incorrect,"This answer incorrectly excludes the amortization of prior service cost from the calculation."
content/cpa/far/questions.json,cpa,far,far-gen-1391,draft,medium,1,B,correct-option-marked-incorrect,"This answer incorrectly assumes that all units from the March 1 purchase were sold and includes some from the August 1 purchase at $15/unit."
content/cpa/far/questions.json,cpa,far,far-gen-1396,draft,medium,1,B,wrong-option-marked-correct,"B) $180,000 is the correct depreciation expense for 2024. The double-declining balance rate is 40%. 2023 depreciation is $200,000 ($500,000 * 40%). The book value at the start of 2024 is $300,000. Initial depreciation for 2024 is $120,000 ($300,000 *"
content/cpa/far/questions.json,cpa,far,far-gen-1422,retired,easy,1,B,correct-option-marked-incorrect,"This option incorrectly adds the actual return on plan assets instead of subtracting it."
content/cpa/far/questions.json,cpa,far,far-gen-1452,draft,easy,0,A,correct-option-marked-incorrect,"Incorrect. While $47,000 is the NRV, the question asks for the lower of cost or NRV, which requires comparing the two amounts."
content/cpa/far/questions.json,cpa,far,far-9k-002-1,approved,easy,0,A,wrong-option-marked-correct,"Correct. The weighted average cost is calculated by dividing the total cost of goods available for sale by the total number of units available for sale. This cost is then multiplied by the number of units sold to calculate COGS."
content/cpa/far/questions.json,cpa,far,far-9k-002-1,approved,easy,1,B,correct-option-marked-incorrect,"Incorrect. This answer likely results from not correctly calculating the weighted-average cost per unit."
content/cpa/far/questions.json,cpa,far,far-9k-005-1,approved,hard,2,C,correct-option-marked-incorrect,"Incorrect. This answer likely resulted from a misunderstanding of the double declining balance method."
content/cpa/far/questions.json,cpa,far,far-9k-005-1,approved,hard,3,D,wrong-option-marked-correct,"Correct. Double declining balance depreciation calculates depreciation expense at twice the straight line rate."
content/cpa/far/questions.json,cpa,far,far-9k-007,approved,medium,0,A,wrong-option-marked-correct,"Correct because FIFO uses older (cheaper) costs during rising prices, leading to lower COGS and higher Net Income."
content/cpa/far/questions.json,cpa,far,far-9k-007,approved,medium,1,B,correct-option-marked-incorrect,"Incorrect because the FIFO method will result in lower cost of goods sold during periods of rising prices."
content/cpa/far/questions.json,cpa,far,far-9k-013,approved,hard,1,B,correct-option-marked-incorrect,"Incorrect. The lease is a finance lease, not an operating lease."
