file,course,section,question_id,status,difficulty,option_key,option_letter,issues,sample
content/cfp/CFP-GEN/questions.json,cfp,CFP-GEN,cfp-gen-b2-016,approved,medium,2,C,self-contradictory-rationale-text,"Why option C is WRONG - The original explanation incorrectly marked this as the correct answer. The correct answer is B."
content/cfp/CFP-INV/questions.json,cfp,CFP-INV,cfp-inv-008,approved,hard,0,A,wrong-option-marked-correct,"Why option A is CORRECT - Portfolio X dominates Portfolio Y because it offers a higher expected return (9% vs. 8%) and lower standard deviat"
content/cfp/CFP-INV/questions.json,cfp,CFP-INV,cfp-inv-008,approved,hard,2,C,wrong-option-marked-correct,"Why option C is CORRECT - Portfolio Y is inefficient because it offers a lower return (8%) and higher risk (14%) compared to Portfolio X (9%"
content/cfp/CFP-RET/questions.json,cfp,CFP-RET,cfp-ret-031,approved,hard,1,B,self-contradictory-rationale-text,"Why option B is WRONG - While the calculation is correct ($800,000 / 23.7 = $33,755), this option is presented in the wrong order. The corre"
content/cfp/CFP-TAX/questions.json,cfp,CFP-TAX,cfp-tax-036,approved,medium,1,B,self-contradictory-rationale-text,"Why option B is WRONG - This was the originally marked correct answer but is incorrect. The calculation is incorrect. The correct answer is "
content/cfp/CFP-TAX/questions.json,cfp,CFP-TAX,cfp-tax-b2-016,approved,medium,3,D,self-contradictory-rationale-text,"Why option D is WRONG - While $6,000 is the initial calculation before any potential phase-out, the question implies a slight phase-out due "
content/cisa/cisa4/questions.json,cisa,cisa4,cisa4-095,approved,medium,0,A,wrong-option-marked-correct,"Command center activation is required in many scenarios, not just 'never'. A blanket statement like this is rarely correct in incident respo"
content/cisa/cisa4/questions.json,cisa,cisa4,cisa4-132,approved,hard,1,B,wrong-option-marked-correct,"This calculation only considers scheduled maintenance, neglecting unscheduled downtime, which significantly impacts service availability. Th"
content/cisa/cisa4/questions.json,cisa,cisa4,cisa4-139,approved,medium,1,B,wrong-option-marked-correct,"Size verification and metadata confirmation alone are insufficient to ensure recoverability. The backup could be the correct size and have v"
content/cisa/cisa4/questions.json,cisa,cisa4,cisa4-b12-064,approved,hard,2,C,wrong-option-marked-correct,"Active-passive *can* be more expensive in some scenarios, but the statement is not universally true. The cost depends on factors like the co"
